Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Página do manual
Café tradicional filtrado 3 corações® (cápsula),1 cápsula,8,0,0,70
Caipirinha com açúcar,1 copo,200,30,340,70
Caipirinha sem açúcar,1 copo,200,3,232,70
Cajá manga,1 unidade grande,75,9,38,70
Cajá manga,1 unidade média,55,7,28,70
Cajá manga,1 unidade pequena,40,5,20,70
Cajá polpa congelada,1 porção,100,6,26,70
Cajú,1 unidade média,90,9,39,70
Caju polpa congelada,1 porção,100,9,37,70
"Caju, suco concentrado",1 copo,200,21,90,70
Cajuzinho,1 unidade pequena,12,6,50,70
Cajuzinho,1 unidade média,25,13,106,70
Cajuzinho,1 unidade grande,40,20,169,70
Calda de caramelo,1 Colher de Sopa,10,7,31,71
Calda de chocolate,1 colher de sopa,10,5,31,71
Calda de morango,1 Colher de Sopa,10,7,25,71
Caldo de cana,1 copo,200,36,130,71
Caldo de carne Knorr®,1 tablete,10,3,30,71
Caldo de feijão,1 Concha média,150,16,254,71
Caldo de galinha Knorr®,1 tablete,10,3,30,71
Caldo de mandioca,1 Concha média,150,21,312,71
Caldo verde,1 concha média cheia,130,7,79,71
Camarão (Baked Potato®),1 concha,90,0,42,71
Camarão à milanesa,1 Colher de Sopa,20,5,69,71
Camarão cozido,1 colher de sopa,20,0,18,71
Camarão cozido,1 unidade grande,30,0,27,71
Camarão cru,1 unidade grande,30,0,14,71
Camarão frito,1 colher de sopa,20,0,46,71
Camu-camu,6 unidades,48,3,15,71
Canapé de capaccio,1 torrada,3,2,20,71
Canela em pau Kitano®,1 unidade,2,1,5,71
Canela em pó,1 colher de chá,2,1,5,71
Canelone de frango,1 unidade média,45,9,87,71
Canelone de ricota,1 unidade média,30,7,74,71
Canja de galinha,1 concha média cheia,130,12,110,71
Canja de galinha,1 prato fundo,520,49,442,71
Canjica pronta,1 Colher de Sopa cheia,25,6,28,71
Canjica pronta,1 Concha média,120,28,134,71
Canjica pronta diet,1 Concha,120,13,86,71
Canjica pronta diet,1 Colher de Sopa,25,3,18,71
Canjiquinha de frango,1 Concha média,145,13,215,71
Capeletti de carne,1 escumadeira,50,25,141,71
Capeletti de carne Massa leve®,1 xícara de chá,100,44,223,72
Capeletti de frango,1 escumadeira,50,25,140,72
Capeletti de frango Massa leve®,1 xícara de chá,100,51,266,72
Capeletti de presunto,1 escumadeira,50,25,143,72
Cappuccino Baunilha 3 corações ® pó,1 Colher de Sopa,10,7,41,72
Cappuccino Chocolate 3 corações ® pó,1 Colher de Sopa,10,7,40,72
Cappuccino Classic 3 corações ®,1 cápsula,11,7,44,72
Cappuccino Classic 3 corações ® pó,1 Colher de Sopa,10,7,43,72
Cappuccino Classic Pronto 3 corações ®,1 unidade / garrafinha,260,39,267,72
Cappuccino Descafeinado 3 corações ® pó,1 Colher de Sopa,10,6,36,72
Cappuccino Diet 3 corações ® pó,1 Colher de Sopa,10,4,45,72
Cappuccino em pó,1 Colher de Sopa,10,7,42,72
Cappuccino Light 3 corações ® pó,1 Colher de Sopa,10,6,35,72
Cappuccino Light 3 corações ® pó,1 sachê,14,9,49,72
Caqui,1 unidade média,110,21,78,72
Caqui,1 unidade pequena,85,16,60,72
Cará cozido,1 Colher de Sopa cheia,35,7,27,72
Carambola,1 unidade média,75,9,35,72
Caranguejo cozido,1 porção,100,0,83,72
Carne assada,1 fatia média,90,0,259,72
"Carne bovina, acém, moído, cozido",1 Colher de Sopa cheia,25,0,53,72
"Carne bovina, costela assada",1 pedaço médio,40,0,149,72
"Carne bovina, picanha, com gordura, grelhada",1 bife médio,100,0,289,73
Carne de boi cozida,1 Colher de Sopa,30,0,65,73
Carne de boi cozida,1 pedaço,35,0,75,73
Carne de boi cozida,1 Colher de Arroz / Servir,70,0,150,73
Carne de boi moída,1 Colher de Sopa cheia,25,0,49,73
"Carne de boi, lagarto cozido",1 fatia média,100,0,222,73
"Carne de boi, lagarto cru",1 fatia média,100,0,135,73
"Carne de boi, maminha, grelhado",1 filé médio,100,0,153,73
"Carne de boi, paleta sem gordura, cozida",1 filé médio,100,0,194,73
"Carne de boi, paleta sem gordura, crua",1 filé médio,100,0,141,73
"Carne de boi, picanha com gordura, grelhada",1 filé médio,100,0,289,73
"Carne de boi, picanha sem gordura, grelhada",1 filé médio,100,0,238,73
Carne de cabrito magra,1 pedaço médio,100,0,179,73
Carne de cordeiro magra,1 pedaço médio,100,0,162,73
"Carne de porco, bisteca grelhada",1 filé médio,100,0,280,73
"Carne de porco, lombo assado",1 bife médio,100,0,210,73
"Carne de porco, pernil assado",1 fatia média,90,0,236,73
Carne de sol (carne seca),1 Colher de Sopa cheia,18,0,77,73
"Carne de vaca, maminha",1 filé médio,100,0,153,73
Carne ensopada com legumes,1 Colher de Sopa cheia,35,3,57,73
Carne vegetal (proteína texturizada de soja),1 xícara,50,10,139,73
Carpa assada,1 filé médio,100,0,110,73
Carpaccio de carne,1 fatia média,15,0,43,74
Carpaccio de Haddock,1 fatia média,15,0,17,74
Carpaccio de salmão,1 fatia média,15,0,21,74
Carré,1 unidade média,90,0,213,74
Caruru (hortaliça crua picada),1 Colher de Sopa,20,1,7,74
Caruru (prato baiano),1 Colher de Sopa,40,3,67,74
Casquinha de siri,1 unidade pequena,16,0,27,74
Castanha de caju,1 unidade média,3,1,17,74
Castanha do Pará,2 unidades médias,8,1,51,74
Castanha portuguesa,1 unidade média,4,2,8,74
Catchup / Ketchup,1 sachê,7,2,6,74
Catchup / Ketchup,1 Colher de Sopa,12,2,11,74
Catupiry,1 Colher de Sopa,30,0,80,74
CBO (Mc’Donalds®),1 unidade,240,56,643,74
Cebola picada,1 Colher de sopa,10,1,4,74
Cebolinha crua (picada),2 Colheres de Sopa,4,0,1,74
Cebolitos (Elma Chips®),1 xícara,17,11,85,74
Cenoura cozida,1 Colher de Sopa,25,2,8,74
Cenoura crua ralada,1 Colher de Sopa,12,1,4,74
Centeio (farinha integral),1/2 xícara,50,37,168,74
"Cereal barra Nestlé® banana, aveia e mel",1 unidade,20,11,63,74
Cereal barra Nutry® coco com chocolate,1 unidade,22,16,90,74
Cereal barra Trio® light morango com chocolate,1 unidade,20,14,74,74
Cereal infantil 3 cereais Mucilon Nestlé®,1 Colher de Sopa,7,6,27,74
"Cereal infantil banana, maçã e quinoa Mucilon Nestle®",1 Colher de Sopa,7,5,25,74
Cereal infantil de arroz / milho Mucilon Nestlé®,1 Colher de Sopa,7,6,26,74
Cereal matinal All bran Fibre Plus Kellogg’s®,1 xícara,40,134,19,74
Cereal matinal All bran flakes Kellogg’s®,1 xícara,30,20,107,75
Cereal matinal Chocokrispis Kellogg’s®,1 xícara,30,25,116,75
Cereal matinal Corn flakes Kellogg’s®,1 xícara,30,24,108,75
Cereal matinal Crunch Nestlé®,1 xícara,30,22,117,75
Cereal matinal de milho,1 xícara,30,25,110,75
Cereal matinal de milho,1 Colher de Sopa,4,3,15,75
Cereal matinal de milho com açúcar,1 xícara,30,27,113,75
Cereal matinal de milho com açúcar,1 Colher de Sopa,4,3,15,75
Cereal matinal granola tradicional Kelloggs®,1/2 xícara,40,24,158,75
Cereal matinal granola tradicional Kelloggs®,1 Colher de Sopa,10,6,29,75
Cereal matinal Nesfit® frutas sem açúcar,1 xícara,30,21,102,75
Cereal matinal Nesfit® mel e amêndoas sem açúcar,1 xícara,30,22,108,75
Cereal matinal Nesfit® sem açúcar,1 xícara,30,21,100,75
Cereja em calda,1 unidade,7,2,6,75
Cereja fresca,1 unidade,7,1,5,75
Cerveja,1 lata,350,12,143,75
Cerveja 0% Carboidrato Bruder®,1 lata,350,0,112,75
Cerveja 0% de álcool,1 lata,350,20,84,75
Cerveja Amstel Ultra Heineken®,1 long neck,275,"2,7",72,75
Cerveja Michelob Ultra Ambev®,1 long neck,330,2,79,75
Cerveja Noi® low carb,1 lata,350,2,94,75
Cerveja Stella Artois® pure gold,1 long neck,330,1,34,75
Cerveja Stella Artois® tradicional,1 long neck,330,9,134,76
Cerveja tipo Malzbier,1 lata,350,49,210,76
"Cevada, infusão",1 xícara de chá,200,6,30,76
"Cevada, pó",1 Colher de Sopa,10,6,30,76
Chá com açúcar (média),1 xícara de chá,200,16,64,76
Chá mate (infusão sem açúcar),1 xícara de chá,200,1,6,76
Chá sem açúcar (média),1 xícara de chá,200,1,4,76
Chambinho,1 unidade pequena,40,6,46,76
Champagne (Chandon®),1 taça,150,0,127,76
Champagne (Espumante tipo sidra),1 taça,150,4,123,76
Champignon (conserva),1 Colher de Sopa,27,1,6,76
Chandelle® chocolate,1 unidade,90,20,132,76
Chantilly,1 Colher de Sopa,20,3,63,76
Charutinho de folha de uva,1 porcao,100,3,99,76
Charutinho de repolho,1 porcao,100,2,67,76
Charuto folha de uva Habib’s,1 porção,245,19,263,76
Charuto repolho Habib’s,1 porção,285,23,295,76
Cheddar McMelt (Mc’ Donalds),1 unidade,0,31,474,76
Cheeseburger simples caseiro,1 unidade,130,32,430,76
Cheeseburguer (Bob’s),1 unidade,120,25,264,76
Cheeseburguer (Burguer King),1 unidade,130,30,308,76
Cheeseburguer (Mc’ Donalds),1 unidade,0,32,298,76
Cheesecake com Mirtilo (sorvete),1 bola,60,18,140,76
Cheetos (Elma Chips®),1 xícara,12,8,60,76
Chester,1 fatia média,32,0,53,76
Chia (Sementes),1 colher de sopa,10,4,44,76
Chicken Bacon Sandwich (Mc’ Donalds®),1 unidade,0,37,448,77
Chicken Crispy Deluxe Sandwich (Mc’ Donalds®),1 unidade,0,54,625,77
Chicken Crispy Melt & Bacon Sandwich (Mc’ Donalds®),1 unidade,0,54,651,77
Chicken Junior Sandwich (Mc’ Donalds®),1 unidade,171,38,343,77
Chicken Sandwich (Mc’ Donalds®),1 unidade,0,37,396,77
Chiclete (média),1 unidade,5,4,16,77
Chiclete Adams®,1 unidade,2,1,5,77
Chiclete Bubbaloo®,1 unidade,5,4,16,77
Chiclete Mentos® sem açúcar,1 unidade,2,1,3,77
Chiclete Trident®,1 unidade,2,1,3,77
Chicória crua,2 folhas grandes,34,1,5,77
Chicória refogada,1 colher de sopa cheia,45,3,39,77
Chimarrão,1 cuia média,200,3,13,77
Chipa de queijo (Forno de Minas®),1 unidade média,33,11,90,77
Chocolate 70% cacao Lindt®,1/4 barra,25,"3,5",148,77
Chocolate Alpino diet Nestlé®,1 barra pequena,30,17,143,77
Chocolate Alpino Nestlé®,6 quadradinhos,25,14,137,77
Chocolate Alpino Nestlé®,1 bombom,13,7,71,77
Chocolate ao leite (média),1 barra pequena,25,15,135,77
Chocolate ao leite Classic diet Nestlé®,1 barra pequena,25,14,165,77
Chocolate ao leite Classic Nestlé®,6 quadradinhos,25,13,136,77
Chocolate ao leite diet Línea®,1 tablete,30,13,143,77
Chocolate ao leite Lacta®,4 quadrados,25,14,133,78
Chocolate Batom Nestlé®,1 unidade,16,8,87,78
Chocolate Bis Lacta®,1 unidade,6,4,31,78
Chocolate caramelo Twix®,1 unidade,15,10,75,78
Chocolate Diamante Negro®,4 quadradinhos,25,17,124,78
Chocolate diet Talento®,1 barra peq / 4 quad.,25,12,129,78
Chocolate em pó,1 Colher de Sopa,15,7,79,78
Chocolate Ferrero Rocher®,2 unidades,25,11,149,78
Chocolate Galak Nestlé®,6 quadradinhos,25,14,138,78
Chocolate Lindt Excellence 50% cacau,1/4 unidade,50,12,138,78
Chocolate meio amargo (média),1 barra pequena,25,16,119,78
Chocolate quente com leite (Mc’ Donalds®),1 copo pequeno,200,15,115,78
Chocolate quente com leite (Mc’ Donalds®),1 copo grande,300,22,173,78
Chocolate Suflair®,5 quadradinhos,25,13,138,78
Chocolate Talento®,1 barra peq / 4 quad.,25,13,136,78
Chocotone Bauducco®,1 fatia média,40,18,144,78
Chopp claro,1 tulipa,290,11,130,78
Chopp escuro,1 tulipa,290,12,142,78
Chouriço,1 gomo,60,1,227,78
Chuchu à milanesa,1 fatia média,70,10,127,78
Chuchu ao molho branco,1 Colher de Sopa cheia,30,3,28,78
Chuchu cozido (picado),1 Colher de Sopa,20,1,4,78
Chucrute,1 Colher de Sopa,15,0,2,78
Chucrute com salsicha,1 porção,75,3,145,78
Churrasquinho de panela,1 Colher de Sopa,25,0,46,78
Churros com doce de leite,1 unidade grande,88,38,283,78
Cidra,1 porção,100,10,40,78
Ciriguela,1 unidade,10,2,8,78
Coalhada desnatada Itambé®,1 pote,130,5,40,79
Coalhada integral Itambé®,1 pote,130,17,123,79
Coalhada seca natural Alibey,1 colher de sopa,15,1,19,79
Coalhada seca natural Alibey®,1 Colher de Sopa,15,1,19,79
Cobertura de chocolate ao leite Garoto®,4 quadradinhos,25,14,140,79
Coca-Cola Zero®,1 copo,200,0,0,79
Coca-Cola®,1 copo,200,21,85,79
Cocada,1 unidade média,70,40,259,79
Cocada queimada Brasil Caipira®,1 unidade,25,17,108,79
Cocada Zero açúcar Santa Helena®,1 unidade,20,11,86,79
Coco fresco ralado,1 colher de sopa,9,1,36,79
Coco in natura,1 pedaço médio,40,4,162,79
Coco ralado seco industrializado,1 colher de sopa,9,2,63,79
"Coco, leite de (industrializado)",1 copo,200,4,332,79
"Coco-da-baía, água-de",1 copo,200,11,44,79
Coentro,1 colher de sopa,8,4,25,79
Cogumelo (champignon) em conserva,1 colher de sopa,27,1,5,79
Colomba Pascal frutas cristalizadas Bauducco®,1 fatia média,60,29,187,79
Colomba Pascal gotas de chocolate Bauducco®,1 fatia média,60,29,211,79
Colomba Pascal gotas de chocolate Zero açúcar Casa Suíca®,1 fatia grande,80,46,328,79
Colorau,1 colher de sopa,16,6,51,79
Cominho em pó,1 colher de sopa,16,7,60,79
Confeito de chocolate ao leite M&M’s,1 colher de sopa,12,9,61,80
Confeito de chocolate ao leite M&M’s,1/2 pacote pequeno,25,18,121,80
Conhaque,1 dose,50,0,103,80
Cookie cheescake com framboesa (Subway®),1 unidade,45,29,200,80
Cookie chocolate branco com macadâmia (Subway®),1 unidade,45,28,220,80
Cookie chocolate com gotas de chocolate (Subway®),1 unidade,45,30,210,80
Cookies integrais chocolate Jasmine®,6 unidades - porção,30,21,123,80
Cookies integrais chocolate Jasmine®,1 unidade,5,3,20,80
Cookies integrais damasco com chocolate zero açúcar Jasmine®,8 unidades - porção,30,14,90,80
Cookies integrais damasco com chocolate zero açúcar Jasmine®,1 unidade,4,2,11,80
Cookies integral aveia e mel Taeq®,6 unidades - porção,30,19,108,80
Cookies integral aveia e mel Taeq®,1 unidade,5,3,18,80
Cookies original Bauducco®,1 unidade,10,6,44,80
Coração de frango grelhado,1 unidade média,5,0,10,80
Cosmopolitan,1 dose,118,17,174,80
Costela de boi assada,1 pedaço médio,40,0,149,80
Costela de porco cozida,1 pedaço médio,25,0,100,80
Couve (“Kraut”),1 folha média,20,1,10,80
Couve manteiga crua,1 folha média,20,1,5,80
Couve manteiga crua,1 colher de sopa,20,1,5,80
Couve manteiga refogada,1 colher de sopa,20,1,18,80
Couve-flor à milanesa,1 ramo médio,90,11,137,80
Couve-flor cozida,1 ramo médio,60,2,11,81
Couve-flor cozida,1 colher de sopa,25,1,5,81
Coxa de frango assada,1 unidade grande,55,0,118,81
Coxinha de frango (salgado),1 unidade grande,110,38,311,81
Coxinha de frango (salgado),1 unidade média,50,17,141,81
Coxinha de frango (salgado),1 unidade pequena,20,7,57,81
Cream Cheese,1 colher de sopa,30,1,70,81
Cream Cheese light,1 colher de sopa,30,1,58,81
Creme de abacate sem açúcar,1 colher sopa cheia,25,3,43,81
Creme de amendoim,1 colher de sopa rasa,15,3,91,81
Creme de leite,1 colher de servir,30,1,66,81
Creme de leite light Nestlé®,1 colher de servir,30,1,48,81
Creme de milho,1 colher de sopa cheia,33,5,35,81
Creme vegetal de chantilly Vigor®,1 colher de sopa,20,2,55,81
Cremogema tradicional®,1 colher de sopa,10,9,36,81
Crepe de banana com chocolate,1 unidade grande,100,32,250,81
Crepe de presunto e queijo,1 unidade grande,100,13,229,81
Croissant,1 unidade grande,67,32,277,81
Croissant,1 unidade média,40,19,165,81
Croissant de chocolate,1 unidade grande,67,28,279,81
Croissant de queijo,1 unidade grande,67,32,277,81
Croquete de Carne frito,1 unidade grande,55,10,191,81
Croquete de Carne frito,1 unidade média,25,5,87,81
Croquete de Carne frito,1 unidade pequena,10,2,35,81
Croquete de milho,1 unidade média,22,10,77,81
Croquete de milho,1 unidade pequena,10,4,35,81
Cuba Libre,1 coquetel,210,15,152,81
Cuca alemã,1 fatia média,60,30,200,81
Cup noodles®,1 unidade comercial,69,39,302,82
Cupuaçu (polpa),1 colher de sopa cheia,20,2,10,82
Curau de milho,2/3 xícara de chá,140,19,109,82
Curry,1 colher de sopa,9,5,35,82
Cuscuz de milho com sal,1 pedaço médio,135,34,152,82
Cuscuz de milho com sal,1 pedaço pequeno,85,21,96,82
Cuscuz de tapioca,1 pedaço médio,120,65,298,82
Cuscuz de tapioca,1 pedaço pequeno,60,33,149,82
Cuscuz paulista,1 pedaço médio,150,34,213,82
Cuscuz paulista,1 colher de sopa,35,8,50,82
Damasco seco,1 unidade,7,4,18,82
"Damasco, geléia Queensberry®",1 colher de sopa,20,14,58,82
Danette®,1 unidade,90,15,116,82
Danette® chocolate branco,1 unidade,90,19,121,82
Danoninho®,1 potinho,40,5,39,82
Danoninho®,1 sachê / embalagem,70,8,69,82
Diet Shake® Tradicional morango,1 colher medida,12,8,35,82
Dobradinha,1 colher de servir cheia,70,0,87,82
Dobradinha com feijão branco,1 colher de servir cheia,70,6,78,82
Doce de abacaxi Ritter®,1 colher de sopa,20,10,41,82
Doce de abóbora cremoso,1 colher de sopa,40,29,162,82
Doce de abóbora e coco,1 colher de sopa,40,21,97,82
Doce de arroz de leite,1 colher de sopa cheia,40,13,68,82
Doce de banana em barra,1 fatia pequena,30,23,84,82
Doce de batata doce,1 fatia pequena,30,22,121,82
Doce de buriti,1 colher de sopa cheia,50,35,152,82
Doce de cidra,1 colher de sopa,50,20,81,83
Doce de coco,1 colher de sopa cheia,50,29,234,83
Doce de cupuaçu,1 colher de sopa,40,29,112,83
Doce de goiaba,1 colher de sopa,20,16,57,83
Doce de goiaba diet Flormel®,1 colher de sopa,20,10,39,83
Doce de goiaba em calda sem açúcar Diet House®,1 colher de sopa,20,6,24,83
Doce de laranja em calda,1 pedaço médio,57,48,196,83
Doce de laranja sem açúcar Diet House®,1 colher de sopa,20,3,12,83
Doce de leite,1 colher de sopa cheia,40,24,122,83
Doce de leite,1 colher de sobremesa,25,15,76,83
Doce de leite zero açúcar Flormel®,1 colher de sopa,20,9,46,83
Doce de mamão verde,1 colher de sopa,40,23,84,83
Doce de manga,1 colher de sopa cheia,50,27,140,83
Docinhos variados (média),1 unidade média,30,16,125,83
Donuts,1 unidade média,70,33,245,83
Doritos (Elma Chips®),1 xícara,17,9,80,83
Double barbecue Cheese (Bob’s®),1 unidade,0,36,401,83
Double cheddar (Habib’s®),1 unidade,315,32,593,83
Double cheddar frango (Bob’s®),1 unidade,0,29,335,83
Double cheeseburguer (Bob’s®),1 unidade,0,25,399,83
Drops comum,1 unidade,3,3,11,83
Eclair (bomba de chocolate),1 unidade pequena,30,4,47,83
Eclair (bomba de chocolate),1 unidade média,50,7,79,83
Eclair (bomba de chocolate),1 unidade grande,80,10,126,83
Edamame cozido,1 colher de sopa cheia,20,2,23,84
Edamame cozido,1 colher de sopa rasa,15,2,17,84
"Eggs Benedict (prato à base de ovos, bacon, pão, molho holandês)",1 porção grande,155,13,428,84
"Eggs Benedict (prato à base de ovos, bacon, pão, molho holandês)",1 porção média,149,13,411,84
Empada de camarão,1 porção média,55,12,116,84
Empada de camarão,1 porção pequena (de festa),12,3,26,84
Empada de frango,1 unidade média,55,26,197,84
Empada de frango,1 unidade grande,70,33,251,84
Empada de frango,1 unidade pequena,12,6,43,84
Empada de palmito,1 unidade média,55,14,129,84
Empada de palmito,1 unidade pequena,12,3,16,84
Empada de palmito,1 unidade grande,95,24,223,84
Empada de queijo,1 porção média,25,5,80,84
Empada de queijo,1 porção grande,67,14,215,84
Empadão goiano,1 pedaço médio,300,48,618,84
Empadinha,1 unidade pequena (de festa),12,4,56,84
Empanada de carne tradicional,1 unidade média,90,20,263,84
"Enchilada com carne, feijões e queijo",1 porção média,129,23,231,84
Enchilada de frango e queijo com molho de tomate,1 porção média,126,19,234,84
Enchilada de queijo,1 unidade média,163,29,319,84
Energético Assault Monster Energy®,1 copo,200,21,84,84
Energético Baly® maçã verde,1 lata,250,25,98,84
Energético Baly® maçã verde,1 lata grande,750,75,294,85
Energético Baly® maçã verde,1 copo,200,20,78,85
Energético Baly® maçã verde sem açúcar,1 lata,250,0,4,85
Energético Baly® maçã verde sem açúcar,1 lata grande,750,0,11,85
Energético Baly® maçã verde sem açúcar,1 copo,200,0,3,85
Energético Baly® melancia,1 lata,250,25,98,85
Energético Baly® melancia,1 lata grande,750,75,294,85
Energético Baly® melancia,1 copo,200,20,78,85
Energético Baly® melancia sem açúcar,1 lata,250,0,4,85
Energético Baly® melancia sem açúcar,1 lata grande,750,0,11,85
Energético Baly® melancia sem açúcar,1 copo,200,0,3,85
Energético Baly® Tradicional,1 lata,250,25,98,85
Energético Baly® Tradicional,1 lata grande,750,75,294,85
Energético Baly® Tradicional,1 copo,200,20,78,85
Energético Baly® Tradicional sem açúcar,1 lata,250,0,4,85
Energético Baly® Tradicional sem açúcar,1 lata grande,750,0,11,85
Energético Baly® Tradicional sem açúcar,1 copo,200,0,3,85
Energético Baly® Tropical sem açúcar,1 lata,250,0,4,85
Energético Baly® Tropical sem açúcar,1 lata grande,750,0,11,85
Energético Baly® Tropical sem açúcar,1 copo,200,0,3,85
Energético Burn®,1 lata,260,31,127,86
Energético Dragon Ice Monster Energy®,1 copo,200,4,14,86
Energético Energy Drink TNT®,1 lata,269,30,123,86
Energético Energy Focus Pink Lemonade TNT®,1 lata,269,1,8,86
Energético Flyng Horse®,1 lata,270,32,130,86
Energético Mango Loco Monster Energy®,1 copo,200,26,100,86
Energético Monster Energy® Ultra,1 copo,200,"2,3",6,86
Energético Monster® pipeline punch,1 lata,473,43,166,86
Energético Psyco Drink Midway®,1 lata,250,28,113,86
Energético Red Bull®,1 lata,250,28,113,86
Energético Reign® (sabores),1 lata,473,0,0,86
Energético Ultra Violet Monster Energy®,1 copo,200,4,16,86
Energético zero açúcar Monster Energy® ultra,1 lata,475,7,19,86
Energético zero açúcar Pow Sour Pink Lemonade®,1 lata,310,11,44,86
Energético zero açúcar Red Bull®,1 lata,250,0,"6,7",86
Energético zero açúcar sabor mango Chilli Beans®,1 lata,310,0,0,86
Enrolado de presunto e queijo,1 unidade média,40,15,114,86
Enrolado de salsicha,1 unidade média,27,3,79,86
Enrolado de salsicha,1 unidade pequena (de festa),15,2,44,86
Ensure em pó (sabores),1 colher medida,10,1,40,86
Ensure plus (sabores),1 porção (tetra pack),200,40,300,86
Ensure plus advance,1 garrafinha,220,38,330,87
Ensure protein,1 garrafinha,220,36,275,87
"Eqlibri® (minicrackers, original e sabores)",1 pacote,22,17,100,87
"Eqlibri® (panetinini, sabores)",1 embalagem,40,25,175,87
Eqlibri® (torradas),1 pacotinho individual,50,29,193,87
Eritritol (possui carboidratos não absorvíveis),1 colher de sobremesa,11,11,2,87
Eritritol (possui carboidratos não absorvíveis),1 colher de sopa,15,15,3,87
Eritritol (possui carboidratos não absorvíveis),1 colher de chá,4,4,1,87
Eritritol (possui carboidratos não absorvíveis),1 xícara de chá,160,158,32,87
Ervilha em conserva,1 colher de sopa cheia,27,4,20,87
Ervilha em conserva,1 colher de arroz cheia,38,6,28,87
Ervilha verde cozida,1 colher de sopa cheia,30,4,26,87
Escarola (endivia) crua,gramas,100,3,12,87
Escondidinho de Carne Seca,1 porção média,200,28,339,87
Escondidinho de Carne Seca,1 xícara,240,34,407,87
Esfiha de calabresa (Habib’s®),1 unidade,75,17,130,87
Esfiha de carne aberta,1 unidade média,75,18,125,87
Esfiha de carne fechada,1 unidade média,80,29,203,87
Esfiha de carne fechada,1 unidade pequena,25,9,64,87
Esfiha de espinafre (Habib’s®),1 unidade,80,17,122,87
Esfiha de frango (Habib’s®),1 unidade,75,18,115,87
Esfiha de queijo,1 porção média,13,5,47,87
Esfiha de queijo,1 porção pequena,73,27,263,87
Esfiha folhada de cheddar com pepperoni (Habib’s®),1 unidade,55,11,201,88
Esfiha folhada de chocolate (Habib’s®),1 unidade,45,16,199,88
Esfiha folhada de chocolate com M&M’s® (Habib’s),1 unidade,65,28,295,88
Eskibon® (picolé clássico),1 unidade,48,15,147,88
Espaguete ao sugo,1 pegador médio,110,24,112,88
Espaguete com molho de tomate,1 pegador médio,110,23,112,88
Espaguete com molho de tomate,1 xícara,220,48,224,88
Espaguete cozido,1 pegador médio,110,39,112,88
Espaguete cozido,1 xícara,220,43,220,88
Espaguete de trigo integral,1 pegador médio,110,19,86,88
Espaguete de trigo integral,1 xícara,220,37,172,88
Espinafre cru,1 colher de sopa cheia,20,0,4,88
Espinafre refogado,1 colher do sopa cheia,25,2,27,88
Estrogonoff de filé mignon (Backed Potato®),1 concha,85,0,146,88
Estrogonoffe de carne,1 colher do sopa cheia,25,1,39,88
Estrogonoffe de carne,1 colher de arroz cheia,40,2,62,88
Estrogonoffe de carne,1 concha média cheia,170,7,266,88
Estrogonoffe de frango,1 colher do sopa cheia,25,1,43,88
Estrogonoffe de frango,1 colher de arroz cheia,40,2,69,88
Estrogonoffe de frango,1 concha média cheia,170,7,293,88
Extrato de malte,1 colher de sopa cheia,15,10,42,88
Extrato de tomate,1 colher de sopa,15,2,10,88
Faisalim (Habib’s®),1 unidade,80,35,240,89
Falafel,1 unidade média,40,14,84,89
Falafel (bolinho de grâo de bico),1 unidade média,50,10,78,89
Fandangos® (salgadinho de milho sabores),1 pacote de 22g,22,15,100,89
Fandangos® (salgadinho de milho sabores),1 pacote de 37g,37,20,170,89
Fandangos® (salgadinho de milho sabores),1 pacote de 45g,45,30,222,89
Fandangos® (salgadinho de milho sabores),1 pacote de 90g,90,59,411,89
Fandangos® (salgadinho de milho sabores),1 pacote de 80g,80,52,365,89
Fandangos® (salgadinho de milho sabores),1 pacote de 140g,140,59,639,89
Fanta laranja,1 copo,200,22,90,89
Fanta laranja,1 lata,350,39,158,89
Farelo de Aveia,1 colher de sopa,15,10,60,89
Farelo de Aveia,1 colher de sobrememesa,8,6,32,89
Farelo de Aveia,1 colher de chá,4,1,16,89
Farelo de trigo,1 colher de sopa cheia,9,5,28,89
Farelo de trigo,1 colher de sobremesa cheia,7,4,22,89
Farfalle cozido,1 xícara,80,60,286,89
Farinha d’água-do-pará,1 copo descartável pequeno,50,41,166,89
Farinha de amaranto,1 colher de sopa cheia,25,17,91,89
Farinha de amaranto,1 colher de sopa rasa,10,7,37,89
Farinha de amendoas,1 colher de sopa,15,4,79,89
Farinha de amendoas,1 xícara,120,24,677,89
Farinha de arroz,1 colher de sopa cheia,17,14,60,90
Farinha de arroz integral,1 colher de sopa cheia,17,13,62,90
Farinha de arroz integral,1 xícara,158,121,574,90
Farinha de centeio integral,1 xícara,158,130,558,90
Farinha de centeio integral,1 colher de sopa cheia,15,11,54,90
Farinha de centeio integral,1 xícara,128,94,569,90
Farinha de chia,1 colher de sobremesa,7,3,34,90
Farinha de chia,1 colher de sopa,10,4,51,90
Farinha de coco,1 colher de chá,6,3,26,90
Farinha de coco,1 colher de sopa rasa,10,3,44,90
Farinha de coco,1 colher de sopa cheia,12,7,53,90
Farinha de linhaça,1 colher de sopa cheia,15,2,72,90
Farinha de linhaça,1 colher de sobremesa,5,0,24,90
Farinha de mandioca,1 colher de sopa cheia,16,14,57,90
Farinha de milho,1 colher de sopa cheia,15,12,54,90
Farinha de milho integral,1 colher de sopa cheia,15,11,53,90
Farinha de milho integral,1 xícara,120,88,424,90
